Sara.Phillips.2019@smu.edu.sg,Sara Phillips,student,dummyValue,12345678,hello
Denise.Brown.2019@smu.edu.sg,Denise Brown,student,dummyValue,12345678,hello
Robert.Shamblin.2019@smu.edu.sg,Robert Shamblin,student,dummyValue,12345678,hello
Sharon.Schwab.2019@smu.edu.sg,Sharon Schwab,student,dummyValue,12345678,hello
Jerry.Gonzales.2019@smu.edu.sg,Jerry Gonzales,student,dummyValue,12345678,hello
Barbara.Dolan.2019@smu.edu.sg,Barbara Dolan,student,dummyValue,12345678,hello
Cherie.Flores.2019@smu.edu.sg,Cherie Flores,student,dummyValue,12345678,hello
Dean.Solberg.2019@smu.edu.sg,Dean Solberg,student,dummyValue,12345678,hello
Yvonne.Mullins.2019@smu.edu.sg,Yvonne Mullins,student,dummyValue,12345678,hello
Florence.Stoeckel.2019@smu.edu.sg,Florence Stoeckel,student,dummyValue,12345678,hello
Elmo.Farah.2019@smu.edu.sg,Elmo Farah,student,dummyValue,12345678,hello
Ralph.Carlson.2019@smu.edu.sg,Ralph Carlson,student,dummyValue,12345678,hello
Ann.Tidwell.2019@smu.edu.sg,Ann Tidwell,student,dummyValue,12345678,hello
Tracey.Thieman.2019@smu.edu.sg,Tracey Thieman,student,dummyValue,12345678,hello
Alice.Hamilton.2019@smu.edu.sg,Alice Hamilton,student,dummyValue,12345678,hello
Laquita.Muilenburg.2019@smu.edu.sg,Laquita Muilenburg,student,dummyValue,12345678,hello
John.Bowman.2019@smu.edu.sg,John Bowman,student,dummyValue,12345678,hello
Theresa.Fowler.2019@smu.edu.sg,Theresa Fowler,student,dummyValue,12345678,hello
Roland.Ford.2019@smu.edu.sg,Roland Ford,student,dummyValue,12345678,hello
Marion.Ragan.2019@smu.edu.sg,Marion Ragan,student,dummyValue,12345678,hello
Danny.Barker.2019@smu.edu.sg,Danny Barker,student,dummyValue,12345678,hello
Kum.Withem.2019@smu.edu.sg,Kum Withem,student,dummyValue,12345678,hello
Ramonita.Howe.2019@smu.edu.sg,Ramonita Howe,student,dummyValue,12345678,hello
Cesar.Drury.2019@smu.edu.sg,Cesar Drury,student,dummyValue,12345678,hello
Takisha.Haddock.2019@smu.edu.sg,Takisha Haddock,student,dummyValue,12345678,hello
Alejandro.Hossack.2019@smu.edu.sg,Alejandro Hossack,student,dummyValue,12345678,hello
Christopher.Leyh.2019@smu.edu.sg,Christopher Leyh,student,dummyValue,12345678,hello
Michele.Kitchens.2019@smu.edu.sg,Michele Kitchens,student,dummyValue,12345678,hello
Sherilyn.Riedl.2019@smu.edu.sg,Sherilyn Riedl,student,dummyValue,12345678,hello
Rogelio.Clark.2019@smu.edu.sg,Rogelio Clark,student,dummyValue,12345678,hello
jeddy.tan.2018@smu.edu.sg,jeddy tan,admin,jeddytan,99770482,hello
verwin.kwa.2019@smu.edu.sg,Verwin Kwa,student,dummyValue,12345678,hello
